slug,name,page_path,mls_subdivisions,review,sales_total,sales_by_year,variants_added
oakhurst,OakHurst,/oakhurst.php,oakhurst | oakhurst replat three,,71,31/12/12/16,1
elk-creek-crossing,Elk Creek Crossing,/elk-creek-crossing.php,elk creek crossing,,71,18/16/19/18,0
piedmont,Piedmont,/piedmont.php,piedmont | piedmont replat,,69,18/15/17/19,1
bridgeport,Bridgeport,/bridgeport.php,bridgeport,,69,12/22/20/15,0
majestic-pointe-ii,Majestic Pointe II,/majestic-pointe-ii.php,majestic pointe ii,,69,0/0/26/43,0
lake-cunningham-village,Lake Cunningham Village,/lake-cunningham-village.php,lake cunningham village,,68,3/32/26/7,0
ponderosa,Ponderosa,/ponderosa.php,ponderosa,,66,23/16/14/13,0
pacific-meadows,Pacific Meadows,/pacific-meadows.php,pacific meadows,,66,21/15/12/18,0
huntington-park,Huntington Park,/huntington-park.php,huntington park | huntington park replat 2,,65,21/17/12/15,1
applewood-heights,Applewood Heights,/applewood-heights.php,applewood heights,,65,16/16/20/13,0
chapel-hill,CHAPEL Hill,/chapel-hill.php,chapel hill,,65,22/12/15/16,0
tara-heights,Tara Heights,/tara-heights.php,tara heights,,65,11/23/15/16,0
lincoln-place,Lincoln Place,/lincoln-place.php,lincoln place,,65,14/16/21/14,0
poppleton-park,Poppleton Park,/poppleton-park.php,poppleton park | poppleton park lot 20 block 15 e 40 ft lt 40 x 128,,64,22/11/9/22,1
bellbrook,Bellbrook,/bellbrook.php,bellbrook,,64,15/15/13/21,0
summer-hill-farm,Summer Hill Farm,/summer-hill-farm.php,summer hill farm,,64,18/23/9/14,0
founders-ridge,Founders Ridge,/founders-ridge.php,founders ridge,,64,14/14/19/17,0
quail-creek,Quail Creek,/quail-creek.php,quail creek,,64,23/13/13/15,0
overlook,Overlook,/overlook.php,overlook | overlook add | overlook addition | overlook addn,,64,17/12/19/16,3
palisades,Palisades,/palisades.php,palisades,,64,22/16/13/13,0
oak-heights,Oak Heights,/oak-heights.php,oak heights | oak heights add | oak heights addition,,64,17/19/11/17,2
meridian-park,Meridian Park,/meridian-park.php,meridian park | meridian park replat | meridian park replat three | meridian park replat two,,63,19/20/14/10,3
morton-meadows,Morton Meadows,/morton-meadows.php,morton meadows,,63,10/21/16/16,0
cimarron-woods,Cimarron Woods,/cimarron-woods.php,cimarron woods,,63,16/15/17/15,0
falcon-forest,Falcon Forest,/falcon-forest.php,falcon forest,,63,20/11/19/13,0
happy-hollow,Happy Hollow,/happy-hollow.php,happy hollow | happy hollow add | happy hollow addition,,62,20/11/15/16,2
saddlebrook,Saddlebrook,/saddlebrook.php,saddlebrook,,62,13/11/21/17,0
deer-creek,Deer Creek,/deer-creek.php,deer creek | deer creek rep 7,,62,18/11/25/8,1
eagle-hills,Eagle Hills,/eagle-hills.php,eagle hills,,61,19/15/14/13,0
arbor-ridge,Arbor Ridge,/arbor-ridge.php,arbor ridge | arbor ridge 2 | arbor ridge ii | arbor ridge lot 5 block 0,,61,16/14/19/12,3
enclave-flats,Enclave Flats,/enclave-flats.php,enclave flats,,61,0/2/22/37,0
springfield-pines,Springfield Pines,/springfield-pines.php,springfield pines | springfield pines replat | springfield pines replat 1,,60,24/17/11/8,2
anchor-view,Anchor View,/anchor-view.php,anchor view | anchor view replat 1,,59,0/25/16/18,1
armbrust-acres,Armbrust Acres,/armbrust-acres.php,armbrust acres,,59,14/16/13/16,0
pheasant-run,Pheasant Run,/pheasant-run.php,pheasant run | pheasant run rep ii | pheasant run replat 111 | pheasant run replat ii | pheasant run replat ii lot 88 block 0 58.33 x 112.50,,59,18/16/13/12,4
oakbrook-meadows,Oakbrook Meadows,/oakbrook-meadows.php,oakbrook meadows | oakbrook meadows lot 232 block 0 irreg,,59,20/17/8/14,1
bluewater,Bluewater,/bluewater.php,bluewater,,59,13/15/18/13,0
stratford-park,Stratford Park,/stratford-park.php,stratford park | stratford park lot 390 block 0 irreg,,58,25/12/11/10,1
garden-oaks,Garden Oaks,/garden-oaks.php,garden oaks,,58,20/9/17/12,0
seven-pines,Seven Pines,/seven-pines.php,seven pines,,58,16/11/14/17,0
tiburon,Tiburon,/tiburon.php,tiburon,,58,14/14/21/9,0
majestic-pointe,Majestic Pointe,/majestic-pointe.php,majestic pointe,,58,19/13/16/10,0
fairview-south,Fairview South,/fairview-south.php,"fairview south | fairview south 2 | fairview south 2, sarpy county, ne | fairview south ii | fairview south ii toa | fairview south replat 1",,58,20/14/13/11,5
autumn-grove,Autumn Grove,/autumn-grove.php,autumn grove | autumn grove rep one,,57,10/9/19/19,1
windsor-west,Windsor West,/windsor-west.php,windsor west,,57,0/1/21/35,0
the-prairies,The Prairies,/the-prairies.php,the prairies | the prairies replat 4,,57,13/16/14/14,1
sagewood-valley,Sagewood Valley,/sagewood-valley.php,sagewood valley,,56,16/27/4/9,0
summer-glen,Summer Glen,/summer-glen.php,summer glen | summer glen rep one,,56,23/14/8/11,1
sugar-creek,Sugar Creek,/sugar-creek.php,sugar creek | sugar creek addition | sugar creek replat 2,,56,21/8/13/14,2
summerwood,Summerwood,/summerwood.php,summerwood,,56,17/14/13/12,0
stockmans-hollow,Stockmans Hollow,/stockmans-hollow.php,stockmans hollow | stockmans hollow replat five | stockmans hollow replat one | stockmans hollow replat three,,56,15/15/15/11,3
raven-oaks,Raven Oaks,/raven-oaks.php,raven oaks,,55,22/15/11/7,0
winchester-heights,Winchester Heights,/winchester-heights.php,winchester heights,,55,17/13/10/15,0
pebblebrooke,PebbleBrooke,/pebblebrooke.php,pebblebrooke | pebblebrooke 2 | pebblebrooke replat 1,,55,15/17/11/12,2
roxbury,Roxbury,/roxbury.php,roxbury | roxbury add | roxbury addition,,55,7/7/24/17,2
cherry-hills,Cherry Hills,/cherry-hills.php,cherry hills,,55,21/14/8/12,0
sunny-slope,Sunny Slope,/sunny-slope.php,sunny slope,,55,21/16/9/9,0
rose-hill,Rose Hill,/rose-hill.php,rose hill,,55,14/13/16/12,0
sun-valley,Sun Valley,/sun-valley.php,sun valley,,55,16/15/13/11,0
mockingbird-hills-west,Mockingbird  Hills  West,/mockingbird-hills-west.php,mockingbird hills west,,55,17/12/15/11,0
rows-at-coventry,Rows at Coventry,/rows-at-coventry.php,rows at coventry,,55,6/33/16/0,0
walnut-grove,Walnut Grove,/walnut-grove.php,walnut grove,,54,16/5/19/14,0
windsor-east,Windsor East,/windsor-east.php,windsor east,,54,2/14/22/16,0
regency,Regency,/regency.php,regency,,54,15/12/10/17,0
castle-creek,Castle Creek,/castle-creek.php,castle creek,,54,18/13/14/9,0
the-oaks,The  Oaks,/the-oaks.php,the oaks | the oaks replat 2nd,,54,14/14/15/11,1
coventry-ridge,Coventry Ridge,/coventry-ridge.php,coventry ridge | coventry ridge replat,,54,11/14/14/15,1
nelsons-creek,Nelsons Creek,/nelsons-creek.php,nelsons creek | nelsons creek lot 39 block 0 irreg | nelsons creek replat,,53,18/12/12/11,2
grandview-ridge-estates,Grandview Ridge Estates,/grandview-ridge-estates.php,grandview ridge estates | grandview ridge estates rep 1,,53,22/9/15/7,1
